Transacao_ID;Cliente_Nome;Cliente_Email;Debito_Credito;Tipo_Transacao;Status;Tipo_Pagamento;Valor_Bruto;Valor_Desconto;Valor_Taxa;Valor_Liquido;Transportadora;Num_Envio;Data_Transacao;Data_Compensacao;Ref_Transacao;Parcelas;Codigo_Usuario;Codigo_Venda;Serial_Leitor;Recebimentos;Recebidos;Valor_Recebido;Valor_Tarifa_Intermediacao;Valor_Taxa_Intermediacao;Valor_Taxa_Parcelamento;Valor_Tarifa_Boleto;Bandeira_Cartao_Credito
D93CF334-8D16-4488-8C09-FA80AB26521A;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Crédito;21,8900;0,0000;0,3700;21,5200;;;28/01/2018 21:45:30;28/02/2018 00:00:00;;1;027955;738426;68123325;1;0;0,0000;0,0000;0,3700;0,0000;0,0000;MasterCard;
5B67226E-C8EC-48DD-8352-CF94D3428184;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;46,6900;0,0000;0,4700;46,2200;;;28/01/2018 21:36:11;29/01/2018 00:00:00;;1;027955;215981;68123325;1;1;46,2200;0,0000;0,4700;0,0000;0,0000;;
763CF881-2DC6-4DEE-8048-979640F72BFD;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;34,9400;0,0000;0,3500;34,5900;;;28/01/2018 21:35:15;29/01/2018 00:00:00;;1;027955;897826;68123325;1;1;34,5900;0,0000;0,3500;0,0000;0,0000;;
18F35648-AF76-4AAB-828E-E6363F09FDCD;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Crédito;78,8400;0,0000;1,3400;77,5000;;;28/01/2018 21:32:38;28/02/2018 00:00:00;;1;027955;890639;68123325;1;0;0,0000;0,0000;1,3400;0,0000;0,0000;Elo;
F6A51254-4EFE-44CF-A726-E918FB051331;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Crédito;34,8700;0,0000;0,5900;34,2800;;;28/01/2018 21:30:09;28/02/2018 00:00:00;;1;027955;213736;68123325;1;0;0,0000;0,0000;0,5900;0,0000;0,0000;Visa;
0E471D16-C0F3-4D86-8E12-589989ABEF58;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Crédito;73,2000;0,0000;1,2400;71,9600;;;28/01/2018 21:27:37;28/02/2018 00:00:00;;1;027955;374657;68123325;1;0;0,0000;0,0000;1,2400;0,0000;0,0000;Visa;
DE3E71EC-43A7-46A2-95E0-4F062C489214;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Crédito;94,6700;0,0000;1,6100;93,0600;;;28/01/2018 21:26:35;28/02/2018 00:00:00;;1;027955;894780;68123325;1;0;0,0000;0,0000;1,6100;0,0000;0,0000;MasterCard;
D41F9D38-6FE8-4A28-92FA-DD8ED7AC37F9;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;13,7400;0,0000;0,1400;13,6000;;;28/01/2018 21:16:06;29/01/2018 00:00:00;;1;027955;554228;68123325;1;1;13,6000;0,0000;0,1400;0,0000;0,0000;;
209A9800-FAD7-4FF9-B9A8-BA064253CEDF;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Crédito;61,4000;0,0000;1,0400;60,3600;;;28/01/2018 21:14:44;28/02/2018 00:00:00;;1;027955;890724;68123325;1;0;0,0000;0,0000;1,0400;0,0000;0,0000;MasterCard;
63A910BF-32E1-4999-9AD4-4428B4D7087A;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Crédito;28,5400;0,0000;0,4900;28,0500;;;28/01/2018 21:13:46;28/02/2018 00:00:00;;1;027955;207999;68123325;1;0;0,0000;0,0000;0,4900;0,0000;0,0000;Visa;
C1580284-2C73-4DD6-AB40-F9D6B802672A;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Crédito;7,9000;0,0000;0,1300;7,7700;;;28/01/2018 21:09:39;28/02/2018 00:00:00;;1;027955;726053;68123325;1;0;0,0000;0,0000;0,1300;0,0000;0,0000;Visa;
08A0181B-854A-4216-9AA4-FCAB15485478;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Crédito;45,9900;0,0000;0,7800;45,2100;;;28/01/2018 21:08:42;28/02/2018 00:00:00;;1;027955;548119;68123325;1;0;0,0000;0,0000;0,7800;0,0000;0,0000;MasterCard;
9AF76147-7175-4B30-B333-3300B9B90154;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Crédito;24,2700;0,0000;0,4100;23,8600;;;28/01/2018 21:07:44;28/02/2018 00:00:00;;1;027955;368042;68123325;1;0;0,0000;0,0000;0,4100;0,0000;0,0000;Visa;
5F14AA7F-32FE-4792-97E8-B2EA92CA7AA4;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Crédito;105,9200;0,0000;1,8000;104,1200;;;28/01/2018 21:00:20;28/02/2018 00:00:00;;1;027955;545334;68123325;1;0;0,0000;0,0000;1,8000;0,0000;0,0000;Visa;
5DF49512-0A14-4958-B0FB-AE3B4A0A791A;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Crédito;79,1200;0,0000;1,3500;77,7700;;;28/01/2018 20:56:04;28/02/2018 00:00:00;;1;027955;884936;68123325;1;0;0,0000;0,0000;1,3500;0,0000;0,0000;Visa;
A68306B9-5049-482D-95CE-CA24B8984B09;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;63,2200;0,0000;0,6300;62,5900;;;28/01/2018 20:49:56;29/01/2018 00:00:00;;1;027955;46882;68123325;1;1;62,5900;0,0000;0,6300;0,0000;0,0000;;
3A68D81C-DB2A-4477-A12C-6EBAF0308D70;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Crédito;31,9700;0,0000;0,5400;31,4300;;;28/01/2018 20:48:39;28/02/2018 00:00:00;;1;027955;882725;68123325;1;0;0,0000;0,0000;0,5400;0,0000;0,0000;Visa;
7B5DDC1B-4A51-4C7E-AEB7-4E69A69E19B2;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Crédito;56,5200;0,0000;0,9600;55,5600;;;28/01/2018 20:47:42;28/02/2018 00:00:00;;1;027955;199056;68123325;1;0;0,0000;0,0000;0,9600;0,0000;0,0000;Visa;
D8B7B79D-9494-4DF6-8D7F-05D142A6ACDE;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Crédito;70,8100;0,0000;1,2000;69,6100;;;28/01/2018 20:38:47;28/02/2018 00:00:00;;1;027955;879969;68276701;1;0;0,0000;0,0000;1,2000;0,0000;0,0000;Visa;
88A922CD-BA64-4A1C-8666-F71A03A3CC88;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Crédito;20,3500;0,0000;0,3500;20,0000;;;28/01/2018 20:38:42;28/02/2018 00:00:00;;1;027955;358940;68123325;1;0;0,0000;0,0000;0,3500;0,0000;0,0000;MasterCard;
9F514318-205A-4CE8-8B10-82AD7DC25A87;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Crédito;142,4600;0,0000;2,4200;140,0400;;;28/01/2018 20:36:41;28/02/2018 00:00:00;;1;027955;537878;68123325;1;0;0,0000;0,0000;2,4200;0,0000;0,0000;Visa;
2AF5F639-1531-4958-A7BD-8BCEBE4E4A4C;Venda tarja;;Crédito;Pagamento;Aprovada;Cartão de Crédito;150,0000;0,0000;5,3900;144,6100;;;28/01/2018 20:36:31;27/02/2018 00:00:00;;1;027955;000283157;68276701;1;0;0,0000;0,0000;5,3900;0,0000;0,0000;American Express;
E0743606-E2BA-42D5-8ABC-7C99DE38820D;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Crédito;16,8700;0,0000;0,2900;16,5800;;;28/01/2018 20:35:46;28/02/2018 00:00:00;;1;027955;879163;68123325;1;0;0,0000;0,0000;0,2900;0,0000;0,0000;MasterCard;
120FD7DB-877A-436F-8B31-8B17A5D9F1F8;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;39,8400;0,0000;0,4000;39,4400;;;28/01/2018 20:34:54;29/01/2018 00:00:00;;1;027955;878921;68123325;1;1;39,4400;0,0000;0,4000;0,0000;0,0000;;
BA445692-0315-4B75-8233-F508C014BCB8;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Crédito;100,2900;0,0000;1,7000;98,5900;;;28/01/2018 20:32:26;28/02/2018 00:00:00;;1;027955;357067;68123325;1;0;0,0000;0,0000;1,7000;0,0000;0,0000;Visa;
4DA6F8E8-B095-42DF-B041-4C7FAE3114B1;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Crédito;62,2500;0,0000;1,0600;61,1900;;;28/01/2018 20:27:32;28/02/2018 00:00:00;;1;027955;714039;68123325;1;0;0,0000;0,0000;1,0600;0,0000;0,0000;Visa;
7CFD66CC-3490-4AF4-9A0B-AC422ADEDCE7;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Voucher;90,5800;0,0000;0,0000;90,5800;;;28/01/2018 20:19:39;28/01/2018 00:00:00;;1;027955;54016;68123325;1;0;0,0000;0,0000;0,0000;0,0000;0,0000;;
837290D7-233E-42DC-B44C-31B259FC3F77;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Crédito;110,3200;0,0000;1,8800;108,4400;;;28/01/2018 20:15:46;28/02/2018 00:00:00;;1;027955;37253;68123325;1;0;0,0000;0,0000;1,8800;0,0000;0,0000;MasterCard;
C62A41D4-BD41-43BC-8696-A372F0F40689;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Crédito;44,3000;0,0000;0,7500;43,5500;;;28/01/2018 20:12:54;28/02/2018 00:00:00;;1;027955;188373;68123325;1;0;0,0000;0,0000;0,7500;0,0000;0,0000;Visa;
067A217F-972C-4E1B-9449-E5DCFBC6D902;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;46,0000;0,0000;0,4600;45,5400;;;28/01/2018 20:09:26;29/01/2018 00:00:00;;1;027955;718310;68123325;1;1;45,5400;0,0000;0,4600;0,0000;0,0000;;
34387C34-8751-4995-8EF7-81C7FCC9D005;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Crédito;63,3100;0,0000;1,0800;62,2300;;;28/01/2018 20:07:30;28/02/2018 00:00:00;;1;027955;872037;68123325;1;0;0,0000;0,0000;1,0800;0,0000;0,0000;Visa;
8BDA15F0-CDE7-4A38-9D52-CC49599DC780;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;35,5600;0,0000;0,3600;35,2000;;;28/01/2018 20:06:41;29/01/2018 00:00:00;;1;027955;871820;68123325;1;1;35,2000;0,0000;0,3600;0,0000;0,0000;;
17E240F4-4656-4B26-8989-03A1429B67A9;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Crédito;45,7300;0,0000;0,7800;44,9500;;;28/01/2018 19:59:44;28/02/2018 00:00:00;;1;027955;706462;68123325;1;0;0,0000;0,0000;0,7800;0,0000;0,0000;MasterCard;
95124593-D821-4CC8-B254-D31EF8B40050;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Crédito;11,9000;0,0000;0,2000;11,7000;;;28/01/2018 19:35:35;28/02/2018 00:00:00;;1;027955;344005;68123325;1;0;0,0000;0,0000;0,2000;0,0000;0,0000;Hipercard;
527CE6FD-2EE4-4210-B8B4-9912F2FCEDA4;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Crédito;14,6400;0,0000;0,2500;14,3900;;;28/01/2018 19:34:54;28/02/2018 00:00:00;;1;027955;700301;68123325;1;0;0,0000;0,0000;0,2500;0,0000;0,0000;Visa;
76B2CC13-EBF5-4D08-A753-3DF63C193ADA;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;34,4700;0,0000;0,3400;34,1300;;;28/01/2018 19:20:45;29/01/2018 00:00:00;;1;027955;519744;68123325;1;1;34,1300;0,0000;0,3400;0,0000;0,0000;;
882F6B26-0DEF-4504-8AFE-FFED476D0E2E;Venda tarja;;Crédito;Pagamento;Aprovada;Cartão de Crédito;31,0000;0,0000;1,1100;29,8900;;;28/01/2018 19:16:11;27/02/2018 00:00:00;;1;027955;497935;68276701;1;0;0,0000;0,0000;1,1100;0,0000;0,0000;Diners;
401ADF0B-6ACF-45B5-B453-23CEBF17D042;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Crédito;52,2700;0,0000;0,8900;51,3800;;;28/01/2018 19:15:23;28/02/2018 00:00:00;;1;027955;696118;68276701;1;0;0,0000;0,0000;0,8900;0,0000;0,0000;MasterCard;
2DB9D3AF-C55C-4D27-8C64-5314F7EB8E3A;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;47,2700;0,0000;0,4700;46,8000;;;28/01/2018 19:13:37;29/01/2018 00:00:00;;1;027955;518002;68123325;1;1;46,8000;0,0000;0,4700;0,0000;0,0000;;
84F716FE-5F0A-473F-835E-BE6F865B96B4;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Crédito;18,9300;0,0000;0,3200;18,6100;;;28/01/2018 18:38:29;28/02/2018 00:00:00;;1;027955;332671;68123325;1;0;0,0000;0,0000;0,3200;0,0000;0,0000;Visa;
9795502E-CAE9-4F89-9655-F886DAAAE17F;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Crédito;68,8800;0,0000;1,1700;67,7100;;;28/01/2018 17:32:03;28/02/2018 00:00:00;;1;027955;676331;68440980;1;0;0,0000;0,0000;1,1700;0,0000;0,0000;Visa;
FCE79FC1-59E4-404E-A22E-E7A519295118;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Crédito;63,2000;0,0000;1,0700;62,1300;;;28/01/2018 17:30:36;28/02/2018 00:00:00;;1;027955;2921;68440980;1;0;0,0000;0,0000;1,0700;0,0000;0,0000;MasterCard;
5501AA1F-430B-4A45-865D-380B6C6CD563;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;90,5400;0,0000;0,9100;89,6300;;;28/01/2018 17:28:01;29/01/2018 00:00:00;;1;027955;485922;68440980;1;1;89,6300;0,0000;0,9100;0,0000;0,0000;;
2D7FB778-3E5E-42F3-82E0-74474F72D15E;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;61,0800;0,0000;0,6100;60,4700;;;28/01/2018 17:10:19;29/01/2018 00:00:00;;1;027955;659551;68440980;1;1;60,4700;0,0000;0,6100;0,0000;0,0000;;
A42641E7-3B8C-43B2-A9E8-F79619597634;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;34,4500;0,0000;0,3400;34,1100;;;28/01/2018 17:08:11;29/01/2018 00:00:00;;1;027955;659115;68440980;1;1;34,1100;0,0000;0,3400;0,0000;0,0000;;
2F68F9EE-023B-489E-A019-772251A94C1D;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;32,3000;0,0000;0,3200;31,9800;;;28/01/2018 17:07:07;29/01/2018 00:00:00;;1;027955;658873;68440980;1;1;31,9800;0,0000;0,3200;0,0000;0,0000;;
7FA298E9-FB3F-4D5F-802B-F6A065A3689F;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;41,7900;0,0000;0,4200;41,3700;;;28/01/2018 16:57:21;29/01/2018 00:00:00;;1;027955;313081;68440980;1;1;41,3700;0,0000;0,4200;0,0000;0,0000;;
E23C1104-FA7E-48C2-9C83-2E99645399C0;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Crédito;90,7500;0,0000;1,5400;89,2100;;;28/01/2018 16:53:57;28/02/2018 00:00:00;;1;027955;997318;68440980;1;0;0,0000;0,0000;1,5400;0,0000;0,0000;MasterCard;
611FAF51-2C26-40F7-BDD0-65D24D291E21;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;25,2200;0,0000;0,2500;24,9700;;;28/01/2018 16:48:38;29/01/2018 00:00:00;;1;027955;40066;68440980;1;1;24,9700;0,0000;0,2500;0,0000;0,0000;;
5D918C48-05DD-4169-BD96-792394FEFE4B;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;32,6500;0,0000;0,3300;32,3200;;;28/01/2018 16:47:20;29/01/2018 00:00:00;;1;027955;654564;68440980;1;1;32,3200;0,0000;0,3300;0,0000;0,0000;;
C02AE1FB-30AD-4D81-A455-0AD491277D34;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Crédito;39,6900;0,0000;0,6700;39,0200;;;28/01/2018 16:46:35;28/02/2018 00:00:00;;1;027955;479403;68440980;1;0;0,0000;0,0000;0,6700;0,0000;0,0000;MasterCard;
C951B13E-CA69-4C63-8E26-81B512B40715;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Crédito;92,0600;0,0000;1,5700;90,4900;;;28/01/2018 16:45:05;28/02/2018 00:00:00;;1;027955;995495;68440980;1;0;0,0000;0,0000;1,5700;0,0000;0,0000;MasterCard;
137A10FC-F5DD-424C-8D41-C5BC66F8967A;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;132,6200;0,0000;1,3300;131,2900;;;28/01/2018 16:41:52;29/01/2018 00:00:00;;1;027955;994849;68440980;1;1;131,2900;0,0000;1,3300;0,0000;0,0000;;
E361F975-32FB-4526-964B-C13FE1436CB6;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Crédito;46,4300;0,0000;0,7900;45,6400;;;28/01/2018 16:34:58;28/02/2018 00:00:00;;1;027955;158094;68440980;1;0;0,0000;0,0000;0,7900;0,0000;0,0000;MasterCard;
5FF1A077-AE04-4A70-9358-42F24F486654;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Crédito;133,4100;0,0000;2,2700;131,1400;;;28/01/2018 16:32:22;28/02/2018 00:00:00;;1;027955;157541;68276701;1;0;0,0000;0,0000;2,2700;0,0000;0,0000;MasterCard;
7499F350-3109-41AA-AAED-29E77041B971;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;80,6700;0,0000;0,8100;79,8600;;;28/01/2018 16:31:36;29/01/2018 00:00:00;;1;027955;39208;68440980;1;1;79,8600;0,0000;0,8100;0,0000;0,0000;;
95A7B4EA-9171-41B2-A0EA-1C208B01DFB4;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Crédito;43,9400;0,0000;0,7500;43,1900;;;28/01/2018 16:30:35;28/02/2018 00:00:00;;1;027955;650471;68440980;1;0;0,0000;0,0000;0,7500;0,0000;0,0000;Visa;
3A744DE6-CBC4-41A6-B801-FE99FD139FC5;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;133,2100;0,0000;1,3300;131,8800;;;28/01/2018 16:30:33;29/01/2018 00:00:00;;1;027955;157173;68276701;1;1;131,8800;0,0000;1,3300;0,0000;0,0000;;
6B751F9A-DE0B-44A6-9598-C9EA7136635C;Venda pela Moderninha;;Crédito;Pagamento;Pagamento negado pela empresa de cartão de crédito;Cartão de Crédito;133,2100;0,0000;2,2600;130,9500;;;28/01/2018 16:30:06;28/01/2018 16:30:06;;1;027955;992603;68276701;0;0;0,0000;0,0000;2,2600;0,0000;0,0000;Visa;
44FE3476-6934-4689-AEE6-D43B233B09CC;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;287,9400;0,0000;2,8800;285,0600;;;28/01/2018 16:28:47;29/01/2018 00:00:00;;1;027955;156765;68440980;1;1;285,0600;0,0000;2,8800;0,0000;0,0000;;
EF16903D-BE24-455B-A92B-8A1CF69042BE;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Crédito;261,4300;0,0000;4,4400;256,9900;;;28/01/2018 16:27:53;28/02/2018 00:00:00;;1;027955;649885;68276701;1;0;0,0000;0,0000;4,4400;0,0000;0,0000;Visa;
706A4A0B-5707-4CD0-A66A-7C5DB547FED4;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;292,1800;0,0000;2,9200;289,2600;;;28/01/2018 16:25:44;29/01/2018 00:00:00;;1;027955;305937;68440980;1;1;289,2600;0,0000;2,9200;0,0000;0,0000;;
5595F8E3-27D0-4DB8-AC68-AA7B6FB93C33;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Crédito;81,2700;0,0000;1,3800;79,8900;;;28/01/2018 16:24:09;28/02/2018 00:00:00;;1;027955;826654;68440980;1;0;0,0000;0,0000;1,3800;0,0000;0,0000;Visa;
652A15AD-9F8E-4368-AF3D-D0941F5C09F4;Venda tarja;;Crédito;Pagamento;Cancelada;Cartão de Crédito;335,9600;0,0000;12,0600;323,9000;;;28/01/2018 16:23:35;28/01/2018 16:23:35;;1;027955;;68276701;0;0;0,0000;0,0000;12,0600;0,0000;0,0000;American Express;
52A162C5-7387-45B2-8668-3E8DD0FE29FD;Venda tarja;;Crédito;Pagamento;Pagamento negado pela empresa de cartão de crédito;Cartão de Crédito;335,9600;0,0000;12,0600;323,9000;;;28/01/2018 16:22:52;28/01/2018 16:22:52;;1;027955;000282257;68276701;0;0;0,0000;0,0000;12,0600;0,0000;0,0000;American Express;
7BFB8CFA-9B30-46BF-8FE4-DCCC370864CF;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Crédito;112,5300;0,0000;1,9100;110,6200;;;28/01/2018 16:22:47;28/02/2018 00:00:00;;1;027955;155563;68440980;1;0;0,0000;0,0000;1,9100;0,0000;0,0000;Visa;
D5AC31E9-9034-43E5-9001-91A610D9E033;Venda tarja;;Crédito;Pagamento;Pagamento negado pela empresa de cartão de crédito;Cartão de Crédito;335,9600;0,0000;12,0600;323,9000;;;28/01/2018 16:22:19;28/01/2018 16:22:19;;1;027955;000282252;68276701;0;0;0,0000;0,0000;12,0600;0,0000;0,0000;American Express;
27C9E9CE-2A0F-45CF-9B47-20DCBAAAA784;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Crédito;107,7000;0,0000;1,8300;105,8700;;;28/01/2018 16:21:50;28/02/2018 00:00:00;;1;027955;474447;68440980;1;0;0,0000;0,0000;1,8300;0,0000;0,0000;MasterCard;
18085624-11B0-4350-A6EE-A68199722D4E;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Crédito;99,8900;0,0000;1,7000;98,1900;;;28/01/2018 16:19:29;28/02/2018 00:00:00;;1;027955;473945;68440980;1;0;0,0000;0,0000;1,7000;0,0000;0,0000;Visa;
436B6425-17C1-48AC-9F29-3095723C0CE2;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Crédito;129,5200;0,0000;2,2000;127,3200;;;28/01/2018 16:18:58;28/02/2018 00:00:00;;1;027955;825375;68276701;1;0;0,0000;0,0000;2,2000;0,0000;0,0000;MasterCard;
0B83528B-23FD-4B7B-A23D-E877836F0D85;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Crédito;122,0000;0,0000;2,0700;119,9300;;;28/01/2018 16:17:58;28/02/2018 00:00:00;;1;027955;154566;68440980;1;0;0,0000;0,0000;2,0700;0,0000;0,0000;Visa;
FF7C24F9-DD96-49A2-BE6D-015B1FB6A5D2;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Crédito;58,2300;0,0000;0,9900;57,2400;;;28/01/2018 16:17:00;28/02/2018 00:00:00;;1;027955;304104;68440980;1;0;0,0000;0,0000;0,9900;0,0000;0,0000;MasterCard;
5C03482F-2D2D-4E8B-B8EB-4E1D3F640004;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;49,1200;0,0000;0,4900;48,6300;;;28/01/2018 16:16:32;29/01/2018 00:00:00;;1;027955;647514;68276701;1;1;48,6300;0,0000;0,4900;0,0000;0,0000;;
